asset_id,source_package,original_path,file_name,file_ext,file_size,content_hash,category,target_module,convert_required,parse_status,parse_error
A000327,国家医保智能监管两库_官方公开附件_第一至十八批_截至2026-07-10.zip,国家医保智能监管两库_官方公开附件_截至2026-07-10/第一批-1_药品区分性别使用.xlsx,第一批-1_药品区分性别使用.xlsx,.xlsx,262825,zip:d8b36f140e5b3963d54ba0f35896a170cfdf2c53a058b26db6b092b179ee6316:2517051391,rule_source,rule_engine,no,raw_registered,
A000328,国家医保智能监管两库_官方公开附件_第一至十八批_截至2026-07-10.zip,国家医保智能监管两库_官方公开附件_截至2026-07-10/第一批-2_医疗服务项目区分性别使用.xlsx,第一批-2_医疗服务项目区分性别使用.xlsx,.xlsx,38732,zip:d8b36f140e5b3963d54ba0f35896a170cfdf2c53a058b26db6b092b179ee6316:1359825814,rule_source,rule_engine,no,raw_registered,
A000329,国家医保智能监管两库_官方公开附件_第一至十八批_截至2026-07-10.zip,国家医保智能监管两库_官方公开附件_截至2026-07-10/第一批-3_药品儿童专用.xlsx,第一批-3_药品儿童专用.xlsx,.xlsx,171305,zip:d8b36f140e5b3963d54ba0f35896a170cfdf2c53a058b26db6b092b179ee6316:3227740146,rule_source,rule_engine,no,raw_registered,
A000330,国家医保智能监管两库_官方公开附件_第一至十八批_截至2026-07-10.zip,国家医保智能监管两库_官方公开附件_截至2026-07-10/第一批-4_药品限儿童使用.xlsx,第一批-4_药品限儿童使用.xlsx,.xlsx,18949,zip:d8b36f140e5b3963d54ba0f35896a170cfdf2c53a058b26db6b092b179ee6316:3993240554,rule_source,rule_engine,no,raw_registered,
A000331,国家医保智能监管两库_官方公开附件_第一至十八批_截至2026-07-10.zip,国家医保智能监管两库_官方公开附件_截至2026-07-10/第一批-5_医疗服务项目儿童专用.xlsx,第一批-5_医疗服务项目儿童专用.xlsx,.xlsx,17209,zip:d8b36f140e5b3963d54ba0f35896a170cfdf2c53a058b26db6b092b179ee6316:2396428621,rule_source,rule_engine,no,raw_registered,
A000332,国家医保智能监管两库_官方公开附件_第一至十八批_截至2026-07-10.zip,国家医保智能监管两库_官方公开附件_截至2026-07-10/第七批_医疗服务项目重复收费.xlsx,第七批_医疗服务项目重复收费.xlsx,.xlsx,68260,zip:d8b36f140e5b3963d54ba0f35896a170cfdf2c53a058b26db6b092b179ee6316:2253588975,rule_source,rule_engine,no,raw_registered,
A000333,国家医保智能监管两库_官方公开附件_第一至十八批_截至2026-07-10.zip,国家医保智能监管两库_官方公开附件_截至2026-07-10/第三批-1_药品限工伤保险.xlsx,第三批-1_药品限工伤保险.xlsx,.xlsx,20559,zip:d8b36f140e5b3963d54ba0f35896a170cfdf2c53a058b26db6b092b179ee6316:3982796499,rule_source,rule_engine,no,raw_registered,
A000334,国家医保智能监管两库_官方公开附件_第一至十八批_截至2026-07-10.zip,国家医保智能监管两库_官方公开附件_截至2026-07-10/第三批-2_药品限生育保险.xlsx,第三批-2_药品限生育保险.xlsx,.xlsx,19660,zip:d8b36f140e5b3963d54ba0f35896a170cfdf2c53a058b26db6b092b179ee6316:1386131699,rule_source,rule_engine,no,raw_registered,
A000335,国家医保智能监管两库_官方公开附件_第一至十八批_截至2026-07-10.zip,国家医保智能监管两库_官方公开附件_截至2026-07-10/第九批_药品限二线使用.xlsx,第九批_药品限二线使用.xlsx,.xlsx,42455,zip:d8b36f140e5b3963d54ba0f35896a170cfdf2c53a058b26db6b092b179ee6316:3690413175,rule_source,rule_engine,no,raw_registered,
A000337,国家医保智能监管两库_官方公开附件_第一至十八批_截至2026-07-10.zip,国家医保智能监管两库_官方公开附件_截至2026-07-10/第五批_药品限医疗机构级别.xlsx,第五批_药品限医疗机构级别.xlsx,.xlsx,49754,zip:d8b36f140e5b3963d54ba0f35896a170cfdf2c53a058b26db6b092b179ee6316:1053160009,rule_source,rule_engine,no,raw_registered,
